timestamp,price,quantity,side,level
26,99.4995,1,ask,2
26,99.774,2,ask,3
26,100.095,3,ask,4
26,100.289,3,ask,5
27,98.6218,2,bid,1
27,98.5877,2,bid,2
27,98.2531,1,bid,3
27,97.7417,5,bid,4
27,97.2876,3,bid,5
27,99.3154,1,ask,1
27,99.4995,1,ask,2
27,99.774,2,ask,3
27,100.095,3,ask,4
27,100.289,3,ask,5
28,97.7417,5,bid,1
28,97.2876,3,bid,2
28,97.2599,5,bid,3
28,97.2212,1,bid,4
28,97.2031,3,bid,5
28,99.3154,1,ask,1
28,99.4995,1,ask,2
28,99.774,2,ask,3
28,100.095,3,ask,4
28,100.289,3,ask,5
29,97.7417,4,bid,1
29,97.2876,3,bid,2
29,97.2599,5,bid,3
29,97.2212,1,bid,4
29,97.2031,3,bid,5
29,99.774,1,ask,1
29,100.095,3,ask,2
29,100.289,3,ask,3
29,100.798,3,ask,4
29,100.8,1,ask,5
30,97.7417,4,bid,1
30,97.2876,3,bid,2
30,97.2599,5,bid,3
30,97.2212,1,bid,4
30,97.2031,3,bid,5
30,99.774,1,ask,1
30,99.8929,2,ask,2
30,100.095,3,ask,3
30,100.289,3,ask,4
30,100.798,3,ask,5
31,97.7417,4,bid,1
31,97.2876,3,bid,2
31,97.2599,5,bid,3
31,97.2212,1,bid,4
31,97.2031,3,bid,5
31,99.8929,1,ask,1
31,100.095,3,ask,2
31,100.289,3,ask,3
31,100.798,3,ask,4
31,100.8,1,ask,5
32,97.7417,4,bid,1
32,97.2876,3,bid,2
32,97.2599,5,bid,3
32,97.2212,1,bid,4
32,97.2031,3,bid,5
32,99.8929,1,ask,1
32,100.095,3,ask,2
32,100.289,3,ask,3
32,100.798,3,ask,4
32,100.8,1,ask,5
33,97.7417,4,bid,1
33,97.2876,3,bid,2
33,97.2599,5,bid,3
33,97.2212,1,bid,4
33,97.2031,3,bid,5
33,99.8929,1,ask,1
33,100.095,3,ask,2
33,100.289,3,ask,3
33,100.798,3,ask,4
33,100.8,1,ask,5
34,99.8245,4,bid,1
